+--------+-----+
|  id no | num |
+--------+-----+
| 806994 | 7   |
| 278688 | 7   |
| 813534 | 7   |
| 937609 | 7   |
| 294790 | 6   |
| 741834 | 6   |
| 298836 | 6   |
| 191722 | 6   |
| 953595 | 5   |
| 073164 | 5   |
| 363135 | 5   |
| 639575 | 5   |
| 557673 | 5   |
| 036305 | 5   |
| 087595 | 5   |
| 167052 | 5   |
| 530454 | 5   |
| 533754 | 4   |
| 036218 | 4   |
| 609076 | 4   |
| 425756 | 4   |
| 471122 | 4   |
| 386439 | 4   |
| 274599 | 4   |
| 758224 | 4   |
| 585292 | 4   |
| 853965 | 1   |
| 479789 | 1   |
| 057600 | 1   |
| 480481 | 1   |
| 753075 | 1   |
| 608556 | 1   |
| 530298 | 1   |
| 886127 | 1   |
| 086780 | 1   |
| 234678 | 1   |
| 174095 | 1   |
| 498953 | 1   |
| 406812 | 1   |
| 426232 | 1   |
| 138909 | 1   |
| 604443 | 1   |
| 939661 | 1   |
| 825549 | 1   |
| 808842 | 1   |
| 306921 | 1   |
| 150173 | 1   |
| 185286 | 1   |
| 732808 | 1   |
| 856210 | 1   |
| 472780 | 1   |
| 978554 | 1   |
| 414093 | 1   |
| 906237 | 1   |
| 460940 | 1   |
| 997136 | 1   |
| 986179 | 1   |
| 752227 | 1   |
| 896347 | 1   |
| 287767 | 1   |
| 431692 | 1   |
| 536149 | 1   |
| 614968 | 1   |
| 629408 | 0   |
| 901822 | 0   |
| 171142 | 0   |
| 545480 | 0   |
| 307647 | 0   |
| 616947 | 0   |
| 732408 | 0   |
| 410119 | 0   |
| 313508 | 0   |
| 524239 | 0   |
| 405344 | 0   |
| 980001 | 0   |
| 112690 | 0   |
| 878870 | 0   |
| 044590 | 0   |
| 273700 | 0   |
| 432511 | 0   |
| 330763 | 0   |
| 315511 | 0   |
| 040970 | 0   |
| 619564 | 0   |
| 314636 | 0   |
| 762916 | 0   |
| 140172 | 0   |
| 117501 | 0   |
| 511567 | 0   |
| 515110 | 0   |
| 910576 | 0   |
| 716320 | 0   |
| 521702 | 0   |
| 345890 | 0   |
| 837263 | 0   |
| 790833 | 0   |
| 278614 | 0   |
| 207443 | 0   |
| 870266 | 0   |
+--------+-----+
